,Species,Distance.m,Angle.degrees,Tree.Height.m
1,Populus tremula,31.6658337740228,41.2826361937914,27.80211614385359
2,Quercus robur,45.984992608428,44.5359166583512,45.24602506444045
3,Ginkgo biloba,31.2417666241527,25.1462585572153,14.665482810949326
4,Fraxinus excelsior,34.6166691975668,23.336126555223,14.934175166630416
5,Betula pendula,45.4661654261872,38.3491299510933,35.97035914125991
6,Betula pendula,48.7955017434433,33.5923089866992,32.410213366487454
7,Populus tremula,30.6472346419469,29.6680675458629,17.458243634414387
8,Fagus sylvatica,35.0619523832574,40.6805929599795,30.137380398709727
9,Quercus robur,39.9362466670573,26.9589176739100,20.312477887717684
10,Quercus robur,48.5709257051349,26.7028551246040,24.43166334669332
11,Carpinus betulus,41.3144933478907,33.6508165684063,27.502132337670187
12,Populus tremula,47.1975362300873,28.0572507053148,25.15590069826276
13,Populus tremula,35.4810611810535,39.6383204893209,29.39247964265044
14,Ginkgo biloba,34.8862405261025,38.9365267753601,28.18638717674296
15,Betula pendula,34.1105821775272,42.0246486656833,30.739887756046198
16,Alnus glutinosa,49.654958024621,38.6693715688307,39.737560514138835
17,Ginkgo biloba,40.5030490783975,31.3665648386814,24.690736135823936
18,Carpinus betulus,35.9443165874109,26.293636362534,17.759820660091798
19,Metasequoia glyptostroboides,41.7043626774102,26.5267517697066,20.817346335090157
20,Ginkgo biloba,37.3554195649922,43.1725008168723,35.04535002977613
21,Betula pendula,43.4749639127403,36.2327829515561,31.857079317849106
22,Fagus sylvatica,39.8774524684995,38.6918964318465,31.93860474887132
23,Populus tremula,31.2450212799013,23.340078931069,13.482149833013567
24,Quercus robur,35.9201506245881,42.8551055188291,33.32665231945985
25,Ginkgo biloba,49.6307160519063,31.3478059414774,30.232696012341368
26,Carpinus betulus,38.2067809579894,43.2579337025527,35.95132408576586
27,Pinus sylvestris,30.462764617987,35.7672338711563,21.943967004757198
28,Pinus sylvestris,44.3437174567953,42.6901407469995,40.905079021860864
29,Carpinus betulus,42.391633852385,26.0786303947680,20.747845362702364
30,Pinus sylvestris,49.7625944949687,35.1144014263991,34.992426651640635
31,Populus tremula,46.3471551518887,29.2238053563051,25.92782647096732
32,Fraxinus excelsior,48.8101416407153,30.1879840833135,28.394478693592827
33,Betula pendula,39.1205159528181,40.7153382652905,33.66717709070549
34,Pinus sylvestris,32.091398476623,33.0367860780098,20.869703261500906
35,Fraxinus excelsior,30.7957392046228,36.5876288549043,22.860619204944108
36,Fraxinus excelsior,39.4369949353859,36.0758849116974,28.732534297269215
37,Carpinus betulus,39.9332950264215,23.9536876312923,17.74078567052856
38,Quercus robur,47.7163779549301,31.0238172404934,28.697895494336702
39,Quercus robur,49.7508854558691,35.1251360541210,34.99812490216263
40,Metasequoia glyptostroboides,40.6481830682606,30.1389810792170,23.59988990701617
41,Alnus glutinosa,39.0966060291976,20.8493582543451,14.889960355374651
42,Betula pendula,38.8727945787832,22.9332405712921,16.44709432044467
43,Carpinus betulus,47.0151513628662,30.6295213452540,27.83738978211936
44,Alnus glutinosa,34.5093661732972,25.6323324737605,16.558068648933833
45,Populus tremula,32.0270016696304,30.7978246232960,19.09027666007484
46,Carpinus betulus,36.4183936547488,40.8025922765955,31.438389623260075
47,Alnus glutinosa,35.0219672126696,22.6937661168631,14.64552922255834
48,Ginkgo biloba,40.2515866607428,24.2476485599764,18.130030558549883
49,Alnus glutinosa,49.314148882404,24.237724567065,22.201696178445268
50,Pinus sylvestris,41.1222059605643,21.0549149999861,15.830573683852192
51,Alnus glutinosa,32.3566586244851,39.6630597871263,26.827794343987726
52,Populus tremula,39.0768380276859,28.8852869695984,21.558482903043664
53,Betula pendula,34.7624337533489,30.1337608066387,20.178453677661068
54,Populus tremula,41.9296419201419,40.5908210249618,35.92639924368803
55,Ginkgo biloba,36.9634854933247,42.9492065787781,34.407794803121995
56,Alnus glutinosa,44.7396824741736,28.3564685541205,24.146744735245107
57,Betula pendula,40.0541249988601,36.7069853108842,29.86302169274426
58,Carpinus betulus,42.3438745737076,22.6408458594233,17.66148155113756
59,Quercus robur,42.641541226767,27.5769322866108,22.2706037465808
60,Quercus robur,43.9628482470289,39.0075231716037,35.609971403310816
61,Carpinus betulus,31.7523087095469,41.3719389925245,27.96579975110394
62,Metasequoia glyptostroboides,36.7305195052177,25.2483093517367,17.321912758844125
63,Fagus sylvatica,35.2053026808426,26.6025140462443,17.631434506640378
64,Ginkgo biloba,37.1359657170251,25.7740561838727,17.93148679744986
65,Betula pendula,49.0705289924517,22.1340628678445,19.959466786580823
66,Ginkgo biloba,37.7177836187184,38.4513014333788,29.949773059179897
67,Quercus robur,38.6944898404181,28.8151913310867,21.28583786331085
68,Metasequoia glyptostroboides,43.7934040511027,43.4747779497411,41.521765129375595
69,Quercus robur,31.1318424111232,36.4222790568601,22.971064479255634
70,Fraxinus excelsior,46.5926557453349,40.0547198357526,39.1717694540829
71,Fagus sylvatica,46.8141130637378,42.2744762897491,42.55945949481451
72,Metasequoia glyptostroboides,43.3638163143769,25.2968545409385,20.49506959523989
73,Metasequoia glyptostroboides,43.2250146940351,29.3812054779846,24.337366755080588
74,Metasequoia glyptostroboides,30.3724726615474,26.0244086605962,14.829665038949914
75,Ginkgo biloba,36.2616367125884,26.9264538411517,18.41763461575867
76,Fraxinus excelsior,43.0547891696915,38.5519382532220,34.31109486786842
77,Metasequoia glyptostroboides,31.8466471461579,27.0579518273007,16.267272008346904
78,Pinus sylvestris,32.1485107298940,43.5628935683053,30.574936243868127
79,Carpinus betulus,31.9652264704928,32.4111447832547,20.29447241226934
80,Alnus glutinosa,33.2068143971264,39.2829246632755,27.162940549033117
81,Ginkgo biloba,46.2207302916795,22.6515088393353,19.288603586194192
82,Populus tremula,34.6725190524012,29.0177269594278,19.233317120395288
83,Metasequoia glyptostroboides,31.6282911319286,27.4797301611397,16.45042734203375
84,Pinus sylvestris,42.4521899130195,36.4182837354019,31.31936918817584
85,Carpinus betulus,44.0396487526596,26.9310160295572,22.372573328056728
86,Quercus robur,47.0961082773283,43.5438830161002,44.76114212077403
87,Populus tremula,32.2839726274833,32.886884593172,20.874957205807693
88,Fraxinus excelsior,49.0115680545568,30.479611356277,28.84653264060218
89,Populus tremula,43.1407250231132,28.9061927516013,23.821043784761244
90,Ginkgo biloba,45.5459984904155,32.2224305989221,28.70675385342412
91,Carpinus betulus,31.2111467495561,39.5559814048465,25.779742757321912
92,Fraxinus excelsior,42.0305995130911,37.7148740214761,32.502371408838876
93,Metasequoia glyptostroboides,31.9186182180420,43.9337977429386,30.752257558541505
94,Pinus sylvestris,41.8378670746461,30.7671553385444,24.907879197555246
95,Metasequoia glyptostroboides,44.3048819759861,44.4214324338827,43.419023850246724
96,Populus tremula,33.7106570415199,22.4894612724893,13.956147457662166
97,Metasequoia glyptostroboides,44.3288471642882,37.6085923507344,34.148399504658435
98,Ginkgo biloba,38.8612799486145,23.7011940556113,17.059875183249066
99,Quercus robur,40.2974182832986,41.5249906526878,35.68349044320245
100,Pinus sylvestris,39.4655588641763,42.5670967833139,36.248636090366574
101,Metasequoia glyptostroboides,31.1997501179576,36.4470520627219,23.04201208950104
102,Fraxinus excelsior,49.7581105213612,20.4188025603071,18.52346505550698
103,Ginkgo biloba,39.0433466527611,35.7310830720235,28.087621070017807
104,Quercus robur,37.2985610784963,30.0138944864739,21.546396061768586
105,Metasequoia glyptostroboides,42.3745733685791,33.7517177441623,28.315622341817356
106,Ginkgo biloba,40.405092779547,33.9635875006206,27.216234460893386
107,Betula pendula,40.3485652338713,32.1756120526697,25.384868903787417
108,Ginkgo biloba,47.1486219018698,26.6794721642509,23.692124846641615
109,Ginkgo biloba,33.7005372857675,20.654582423158,12.70385271122993
110,Carpinus betulus,30.6755190063268,26.8811376637314,15.549883230424676
111,Quercus robur,31.8700994597748,23.1649143493269,13.636447101918963
112,Fagus sylvatica,37.5095350714400,36.5860947454348,27.842917505274563
113,Carpinus betulus,46.1398328468204,43.9787996921223,44.523737012335246
114,Ginkgo biloba,39.7066187299788,29.9145355867222,22.84572450662839
115,Alnus glutinosa,41.0378486057743,22.0238169818185,16.60021386268952
116,Pinus sylvestris,33.4058833960444,35.9963867568877,24.26757640751024
117,Carpinus betulus,39.5015619648620,30.2981362491846,23.081125424716813
118,Fagus sylvatica,43.9889151183888,27.0793361170217,22.49024971123315
119,Carpinus betulus,37.8497270308435,38.5734353668522,30.186318931196407
120,Alnus glutinosa,43.5288517223671,36.761984070763,32.51871887959526
